brand,product,price,category,subcategory,URL
"Comme Des Garçons Homme Plus"," Black Worsted wool T-shirt","345 €","Man","Clothing","https://www.brownsfashion.com/ua/shopping/comme-des-garcons-homme-plus-black-worsted-wool-t-shirt-18692819"
"Comme Des Garçons Homme Plus"," Purple tapered corduroy trousers","670 €","Man","Clothing","https://www.brownsfashion.com/ua/shopping/comme-des-garcons-homme-plus-purple-tapered-corduroy-trousers-18693504"
"STORY mfg."," White Grateful Printed T-shirt","98 €","Man","Clothing","https://www.brownsfashion.com/ua/shopping/story-mfg-white-grateful-printed-t-shirt-18341589"
"Canada Goose"," black Hybridge Huron hooded jacket","567 €","Man","Clothing","https://www.brownsfashion.com/ua/shopping/canada-goose-black-hybridge-huron-hooded-jacket-18872494"
