name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Брайсон Билл - Краткая история почти всего на свете [Егор Серов, 2018, 128 kbps, MP3]","Прочая литература","[Аудио] Учебная и научно-популярная литература","1.23 GB","magnet:?xt=urn:btih:F8F483C4084470E2B37FEDB0086624382446FFA5&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i110.fastpic.ru/big/2019/0419/be/c3c0dec64ff31ed7e838a736b80562be.jpg"
"Даррелл Джеральд - Рози - моя родня [Суханова Л, 2010 г., 128, MP3]","Прочая литература","[Аудио] Некондиционные раздачи","561.9 MB","magnet:?xt=urn:btih:3C05DE340AEB55DB513E5803C1711312EB636537&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://www.modernlib.ru/books/darrell_dzherald/rozi_moya_rodnya_s_illyustraciyami/cover.jpg"
"Василий Аксенов - В поисках грустного беби [Игорь Мушкатин, 128]","Прочая литература","[Аудио] Некондиционные раздачи","810.5 MB","magnet:?xt=urn:btih:FB988CEA5960BB5A955FCAD1509990487D28B4C3&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://www.ozon.ru/multimedia/books_covers/1000311417.jpg"
"Альберт Санчес Пиньоль - В пьянящей тишине [И.Ерисанова, 128 кбит/сек]","Прочая литература","[Аудио] Некондиционные раздачи","379.6 MB","magnet:?xt=urn:btih:2BDE9B0A7EE12C8654FA5155F39175F8A4C0B1D8&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://i1.fastpic.ru/big/2009/1230/c0/46f69cec3c843b4c56198b3856079dc0.jpg"
"Воронков Константин - Алексей Навальный. Гроза жуликов и воров [Петр Иванов, (ЛИ), 2013, 80 kbps, MP3]","Прочая литература","[Аудио] Некондиционные раздачи","189 MB","magnet:?xt=urn:btih:DF87A19EA5B7E6115A6719B699ABEBA7C9B960CA&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://i49.fastpic.ru/big/2013/0731/6c/2a167fba3d61309a7e3cf2ebec93e76c.jpg"
"Ксендзюк Алексей - Осознанные сновидения и внетелесный опыт [Владемир Дергач, (ЛИ), 2019, 256 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.23 GB","magnet:?xt=urn:btih:957EA94E4C0E451D6D4A6FA978313E7FF6325ADF&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2020/1011/0b/c36df7f680ab33e0b0aa96d14eb3fa0b.jpg"
"Ксендзюк А.П. - Пороги сновидений (Владемир Дергач, 2019, 256kbps, MP3)","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.68 GB","magnet:?xt=urn:btih:A26E2BB4CA284B47A42AB245DD1BCA277AF4BD7B&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","https://i114.fastpic.ru/big/2020/1009/56/bb3f0c50270d3962a49741c46d42d456.jpg"
"Ошо Раджниш - Любовь. Свобода. Одиночество [Nikosho, (ЛИ), 2015 г., 256 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","1.29 GB","magnet:?xt=urn:btih:168382D09460C21E79901665F8FF5646CC00A5D3&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://i58.fastpic.ru/big/2015/0418/d5/c6043317a6a6e7d628a7585dd4aaa7d5.jpg"
"Ксендзюк Алексей - Ксендзюк А.П. - После Кастанеды. Дальнейшее исследование [dunlocker (ЛИ), (ЛИ), 2014 г., 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","835.4 MB","magnet:?xt=urn:btih:5804F7CE9BC5AEAD59B8B5B8E7B1862CDD5A6201&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i67.fastpic.ru/big/2014/0802/eb/dabf6935ca271147ff47f300b4e0e3eb.jpg"
"Ксендзюк Алексей - Ксендзюк А.П. - Видение нагуаля [dunlocker (ЛИ), (ЛИ), 2014 г., 128 kbps, MP3]","Религии","[Аудио] Нетрадиционные религиозно-философские учения","959.3 MB","magnet:?xt=urn:btih:EC403909C03BD70EDC6481AF4D54C22F05251C82&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i63.fastpic.ru/big/2014/1005/03/f89f9fd8d6ba3c2d4e5afa5f5d975203.jpg"
